"city","datetime","temp","temp_min","temp_max","weather_description","humidity","wind_speed"
"Washington, D.C.",1691388000,18.98,18.98,18.98,"few clouds",64,1.87
"Washington, D.C.",1691398800,18.2,18.2,18.2,"few clouds",68,1.5
"Washington, D.C.",1691409600,17.07,17.07,17.07,"few clouds",72,1.32
"Washington, D.C.",1691420400,21.68,21.68,21.68,"clear sky",57,0.79
"Washington, D.C.",1691431200,27.28,27.28,27.28,"clear sky",40,1.92
"Washington, D.C.",1691442000,30.33,30.33,30.33,"clear sky",31,2.53
"Washington, D.C.",1691452800,30.77,30.77,30.77,"clear sky",29,2.03
"Paris",1691031600,17.2,16.35,17.2,"light rain",78,7.26
"Paris",1691042400,16.9,16.53,16.9,"overcast clouds",78,6.44
"Paris",1691053200,16.78,16.78,16.78,"light rain",80,5.35
"Paris",1691064000,17.92,17.92,17.92,"light rain",81,4.53
"Paris",1691074800,16.52,16.52,16.52,"moderate rain",92,2.7
"Paris",1691085600,17.04,17.04,17.04,"light rain",85,1.6
"Paris",1691096400,15.96,15.96,15.96,"light rain",87,2.65
"Paris",1691107200,14.66,14.66,14.66,"overcast clouds",91,1.85
"Paris",1691118000,14.15,14.15,14.15,"overcast clouds",92,1.72
"Paris",1691128800,14.96,14.96,14.96,"overcast clouds",89,1.52
"Paris",1691139600,19.26,19.26,19.26,"overcast clouds",66,2
"Paris",1691150400,23.19,23.19,23.19,"light rain",44,2.66
"Paris",1691161200,20.74,20.74,20.74,"light rain",63,4.68
"Paris",1691172000,19.15,19.15,19.15,"light rain",67,4.6
"Paris",1691182800,15.88,15.88,15.88,"scattered clouds",76,3.48
"Paris",1691193600,15.91,15.91,15.91,"scattered clouds",69,2.28
"Paris",1691204400,15.92,15.92,15.92,"overcast clouds",64,2.81
"Paris",1691215200,14.92,14.92,14.92,"overcast clouds",73,3.58
"Paris",1691226000,15.63,15.63,15.63,"overcast clouds",66,4.62
"Paris",1691236800,15.48,15.48,15.48,"light rain",74,6.4
"Paris",1691247600,16.83,16.83,16.83,"light rain",78,6.82
"Paris",1691258400,16.66,16.66,16.66,"light rain",69,7.3
"Paris",1691269200,15.29,15.29,15.29,"light rain",84,6.59
"Paris",1691280000,13.97,13.97,13.97,"light rain",84,7.06
"Paris",1691290800,13.03,13.03,13.03,"light rain",85,6.35
"Paris",1691301600,13.33,13.33,13.33,"overcast clouds",81,5.5
